Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Fort Worth, TX",2014,44,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Houston, TX",2014,44,351,,221,,92,,25,,7,,6,,17,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"Little Rock, AR",2014,44,54,,34,,12,,2,,4,,2,,3,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"New Orleans, LA",2014,44,50,,27,,16,,4,,2,,1,,,-,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"San Antonio, TX",2014,44,262,,163,,67,,20,,9,,3,,11,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Shreveport, LA",2014,44,63,,37,,20,,3,,2,,1,,2,,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Tulsa, OK",2014,44,118,,77,,26,,10,,2,,3,,15,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
Mountain,2014,44,1128,,754,,257,,65,,24,,27,,54,,,
"Albuquerque, NM",2014,44,107,,73,,24,,6,,2,,2,,11,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"Boise, ID",2014,44,51,,38,,10,,1,,1,,1,,2,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Colorado Springs, CO",2014,44,82,,62,,11,,8,,1,,,-,1,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Denver, CO",2014,44,89,,51,,24,,7,,2,,5,,4,,"Denver, CO
(39.74001109000045, -104.9922972059997)",
"Las Vegas, NV",2014,44,274,,173,,78,,13,,4,,5,,15,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"Ogden, UT",2014,44,39,,27,,9,,2,,,-,1,,2,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Phoenix, AZ",2014,44,156,,92,,40,,12,,5,,7,,6,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Pueblo, CO",2014,44,22,,14,,7,,,-,1,,,-,2,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Salt Lake City, UT",2014,44,148,,104,,24,,10,,5,,5,,10,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Tucson, AZ",2014,44,160,,120,,30,,6,,3,,1,,1,,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
Pacific,2014,44,2419,,1753,,494,,102,,39,,30,,171,,,
"Berkeley, CA",2014,44,16,,11,,4,,,-,,-,1,,,-,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Fresno, CA",2014,44,144,,99,,31,,7,,5,,2,,9,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Glendale, CA",2014,44,30,,25,,3,,1,,1,,,-,2,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Honolulu, HI",2014,44,65,,52,,8,,3,,1,,1,,4,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Long Beach, CA",2014,44,56,,37,,12,,5,,1,,1,,5,,"Long Beach, CA
(33.76672070300049, -118.19239725799969)",
"Los Angeles, CA",2014,44,1018,,736,,212,,48,,13,,9,,85,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Pasadena, CA",2014,44,28,,25,,2,,1,,,-,,-,2,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Portland, OR",2014,44,107,,81,,23,,3,,,-,,-,5,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Sacramento, CA",2014,44,200,,140,,48,,5,,3,,4,,14,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"San Diego, CA",2014,44,167,,127,,24,,9,,4,,3,,10,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"San Francisco, CA",2014,44,103,,61,,32,,5,,2,,2,,7,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"San Jose, CA",2014,44,202,,156,,34,,3,,5,,4,,15,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Santa Cruz, CA",2014,44,25,,18,,5,,2,,,-,,-,3,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Seattle, WA",2014,44,97,,64,,28,,2,,,-,3,,3,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Spokane, WA",2014,44,46,,38,,4,,4,,,-,,-,3,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Tacoma, WA",2014,44,115,,83,,24,,4,,4,,,-,4,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
Total¶,2014,44,12064,,8225,,2760,,645,,235,,193,,688,,,
New England,2014,45,430,,296,,103,,19,,7,,5,,37,,,
"Boston, MA",2014,45,61,,37,,11,,8,,2,,3,,4,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"Bridgeport, CT",2014,45,34,,21,,10,,1,,2,,,-,1,,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Cambridge, MA",2014,45,16,,14,,1,,1,,,-,,-,1,,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"Fall River, MA",2014,45,19,,17,,1,,1,,,-,,-,1,,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Hartford, CT",2014,45,45,,30,,12,,2,,1,,,-,8,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Lowell, MA",2014,45,16,,13,,3,,,-,,-,,-,3,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Lynn, MA",2014,45,2,,1,,1,,,-,,-,,-,1,,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"New Bedford, MA",2014,45,22,,17,,5,,,-,,-,,-,,-,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"New Haven, CT",2014,45,35,,27,,5,,,-,1,,2,,3,,"New Haven, CT
(41.307621422000466, -72.92461752399964)",
"Providence, RI",2014,45,67,,46,,19,,2,,,-,,-,2,,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Somerville, MA",2014,45,,-,,-,,-,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Springfield, MA",2014,45,15,,12,,2,,1,,,-,,-,2,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Waterbury, CT",2014,45,45,,26,,17,,2,,,-,,-,5,,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Worcester, MA",2014,45,53,,35,,16,,1,,1,,,-,6,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
Mid. Atlantic,2014,45,1739,,1269,,342,,88,,26,,14,,72,,,
"Albany, NY",2014,45,54,,31,,17,,4,,,-,2,,1,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Allentown, PA",2014,45,34,,24,,8,,2,,,-,,-,1,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Buffalo, NY",2014,45,59,,39,,13,,6,,,-,1,,2,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Camden, NJ",2014,45,29,,15,,9,,3,,1,,1,,2,,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Elizabeth, NJ",2014,45,13,,7,,6,,,-,,-,,-,1,,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Erie, PA",2014,45,50,,36,,10,,4,,,-,,-,2,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Jersey City, NJ",2014,45,16,,11,,2,,1,,2,,,-,1,,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"New York City, NY",2014,45,1011,,734,,198,,55,,17,,7,,35,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Newark, NJ",2014,45,13,,10,,3,,,-,,-,,-,1,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Paterson, NJ",2014,45,11,,7,,1,,2,,,-,1,,,-,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Philadelphia, PA",2014,45,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Pittsburgh, PA§",2014,45,70,,62,,7,,1,,,-,,-,2,,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Reading, PA",2014,45,41,,35,,5,,1,,,-,,-,4,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Rochester, NY",2014,45,155,,121,,24,,7,,2,,1,,8,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Schenectady, NY",2014,45,23,,20,,3,,,-,,-,,-,3,,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Scranton, PA",2014,45,27,,20,,5,,1,,1,,,-,1,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Syracuse, NY",2014,45,77,,60,,13,,1,,2,,1,,5,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Trenton, NJ",2014,45,22,,12,,9,,,-,1,,,-,,-,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Utica, NY",2014,45,19,,17,,2,,,-,,-,,-,,-,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Yonkers, NY",2014,45,15,,8,,7,,,-,,-,,-,3,,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
E.N. Central,2014,45,1870,,1246,,455,,111,,29,,29,,122,,,
"Akron, OH",2014,45,48,,29,,15,,3,,1,,,-,3,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Canton, OH",2014,45,33,,22,,8,,2,,,-,1,,1,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Chicago, IL",2014,45,287,,172,,81,,23,,6,,5,,18,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Cincinnati, OH",2014,45,61,,42,,12,,5,,2,,,-,1,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Cleveland, OH",2014,45,265,,178,,61,,17,,6,,3,,18,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Columbus, OH",2014,45,208,,127,,58,,13,,4,,6,,13,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Dayton, OH",2014,45,133,,85,,36,,12,,,-,,-,4,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Detroit, MI",2014,45,,U,,U,,U,,U,,U,,U,,U,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Evansville, IN",2014,45,47,,36,,9,,,-,2,,,-,4,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Fort Wayne, IN",2014,45,69,,44,,19,,3,,2,,1,,5,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Gary, IN",2014,45,12,,9,,1,,2,,,-,,-,1,,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Grand Rapids, MI",2014,45,70,,50,,14,,,-,2,,4,,3,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Indianapolis, IN",2014,45,171,,111,,46,,9,,1,,4,,17,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Lansing, MI",2014,45,51,,35,,8,,5,,2,,1,,5,,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Milwaukee, WI",2014,45,66,,46,,16,,3,,,-,1,,7,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Peoria, IL",2014,45,71,,51,,17,,3,,,-,,-,2,,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Rockford, IL",2014,45,65,,45,,15,,3,,,-,2,,4,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"South Bend, IN",2014,45,55,,46,,8,,1,,,-,,-,5,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Toledo, OH",2014,45,103,,73,,21,,7,,1,,1,,7,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Youngstown, OH",2014,45,55,,45,,10,,,-,,-,,-,4,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
W.N. Central,2014,45,757,,448,,226,,60,,15,,6,,45,,,
"Des Moines, IA",2014,45,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Duluth, MN",2014,45,22,,19,,3,,,-,,-,,-,,-,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Kansas City, KS",2014,45,38,,22,,13,,3,,,-,,-,4,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Kansas City, MO",2014,45,164,,100,,43,,19,,1,,,-,10,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Lincoln, NC",2014,45,40,,29,,8,,3,,,-,,-,2,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Minneapolis, MN",2014,45,67,,42,,16,,4,,3,,2,,5,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Omaha, NE",2014,45,113,,64,,37,,9,,3,,,-,6,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"St. Louis, MO",2014,45,145,,72,,59,,8,,5,,1,,7,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"St. Paul, MN",2014,45,77,,48,,18,,7,,2,,1,,6,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Wichita, KS",2014,45,91,,52,,29,,7,,1,,2,,5,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
S. Atlantic,2014,45,1037,,676,,234,,80,,29,,18,,69,,,
"Atlanta, GA",2014,45,139,,91,,31,,13,,3,,1,,13,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Baltimore, MD",2014,45,145,,84,,42,,10,,8,,1,,11,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
"Charlotte, NC",2014,45,140,,92,,33,,10,,3,,2,,9,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"Jacksonville, FL",2014,45,148,,101,,31,,10,,4,,2,,8,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Miami, FL",2014,45,49,,41,,6,,1,,,-,1,,,-,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Norfolk, VA",2014,45,53,,29,,15,,5,,3,,1,,3,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"Richmond, VA",2014,45,65,,37,,17,,5,,3,,3,,3,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Savannah, GA",2014,45,51,,34,,9,,6,,2,,,-,3,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"St. Petersburg, FL",2014,45,51,,38,,11,,2,,,-,,-,6,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Tampa, FL",2014,45,125,,83,,23,,12,,3,,4,,7,,"Tampa, FL
(27.94653446400048, -82.45926644299965)",
"Washington, D.C.",2014,45,67,,42,,16,,6,,,-,3,,6,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Wilmington, DE",2014,45,4,,4,,,-,,-,,-,,-,,-,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
E.S. Central,2014,45,1004,,643,,268,,56,,17,,20,,80,,,
"Birmingham, AL",2014,45,222,,131,,61,,17,,7,,6,,14,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Chattanooga, TN",2014,45,98,,58,,34,,4,,2,,,-,6,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Knoxville, TN",2014,45,106,,74,,24,,7,,,-,1,,13,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Lexington, KY",2014,45,92,,64,,20,,5,,,-,3,,7,,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Memphis, TN",2014,45,199,,129,,55,,10,,2,,3,,19,,"Memphis, TN
(35.14976284800048, -90.04924570399965)",
"Mobile, AL",2014,45,92,,59,,28,,3,,2,,,-,5,,"Mobile, AL
(30.68639351000047, -88.05323763099966)",
"Montgomery, AL",2014,45,42,,30,,10,,1,,,-,1,,4,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Nashville, TN",2014,45,153,,98,,36,,9,,4,,6,,12,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
W.S. Central,2014,45,1566,,997,,383,,111,,45,,29,,68,,,
"Austin, TX",2014,45,91,,58,,19,,9,,3,,2,,6,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Baton Rouge, LA",2014,45,96,,65,,16,,6,,3,,6,,3,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Corpus Christi, TX",2014,45,65,,50,,13,,2,,,-,,-,3,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Dallas, TX",2014,45,225,,126,,61,,20,,11,,6,,12,,"Dallas, TX
(32.778151412000454, -96.79539918599966)",
"El Paso, TX",2014,45,127,,88,,21,,10,,7,,1,,1,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"Fort Worth, TX",2014,45,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Houston, TX",2014,45,405,,237,,131,,22,,12,,3,,21,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"Little Rock, AR",2014,45,61,,45,,12,,2,,2,,,-,1,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"New Orleans, LA",2014,45,39,,26,,11,,2,,,-,,-,1,,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"San Antonio, TX",2014,45,275,,181,,60,,26,,2,,6,,10,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Shreveport, LA",2014,45,44,,28,,11,,2,,1,,2,,,-,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Tulsa, OK",2014,45,138,,93,,28,,10,,4,,3,,10,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
Mountain,2014,45,1231,,847,,261,,77,,25,,21,,76,,,
"Albuquerque, NM",2014,45,113,,79,,22,,10,,,-,2,,9,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"Boise, ID",2014,45,72,,56,,10,,3,,2,,1,,2,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Colorado Springs, CO",2014,45,76,,48,,17,,7,,3,,1,,2,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Denver, CO",2014,45,87,,63,,15,,5,,2,,2,,3,,"Denver, CO
(39.74001109000045, -104.9922972059997)",
"Las Vegas, NV",2014,45,333,,226,,73,,24,,8,,2,,28,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"Ogden, UT",2014,45,33,,25,,6,,1,,1,,,-,2,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Phoenix, AZ",2014,45,159,,86,,57,,9,,1,,6,,11,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Pueblo, CO",2014,45,28,,24,,3,,1,,,-,,-,2,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Salt Lake City, UT",2014,45,151,,102,,28,,13,,3,,5,,11,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Tucson, AZ",2014,45,179,,138,,30,,4,,5,,2,,6,,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
Pacific,2014,45,1661,,1159,,357,,90,,35,,19,,105,,,
"Berkeley, CA",2014,45,13,,12,,,-,,-,1,,,-,2,,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Fresno, CA",2014,45,118,,84,,28,,2,,2,,2,,6,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Glendale, CA",2014,45,27,,20,,6,,1,,,-,,-,5,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Honolulu, HI",2014,45,68,,50,,13,,3,,2,,,-,6,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Long Beach, CA",2014,45,59,,40,,15,,3,,1,,,-,3,,"Long Beach, CA
(33.76672070300049, -118.19239725799969)",
"Los Angeles, CA",2014,45,240,,151,,58,,19,,7,,5,,24,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Pasadena, CA",2014,45,31,,25,,3,,3,,,-,,-,2,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Portland, OR",2014,45,131,,82,,29,,16,,1,,3,,4,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Sacramento, CA",2014,45,207,,157,,34,,9,,3,,4,,12,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"San Diego, CA",2014,45,143,,101,,33,,8,,1,,,-,8,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"San Francisco, CA",2014,45,110,,71,,27,,7,,3,,1,,6,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"San Jose, CA",2014,45,181,,134,,34,,8,,5,,,-,7,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Santa Cruz, CA",2014,45,28,,22,,3,,2,,1,,,-,,-,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Seattle, WA",2014,45,110,,70,,31,,3,,4,,2,,3,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Spokane, WA",2014,45,63,,41,,17,,2,,3,,,-,5,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Tacoma, WA",2014,45,132,,99,,26,,4,,1,,2,,12,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
Total¶,2014,45,11295,,7581,,2629,,692,,228,,161,,674,,,
New England,2014,46,574,,417,,116,,29,,7,,5,,37,,,
"Boston, MA",2014,46,143,,93,,34,,12,,3,,1,,9,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"Bridgeport, CT",2014,46,31,,27,,4,,,-,,-,,-,3,,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Cambridge, MA",2014,46,19,,16,,2,,1,,,-,,-,5,,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"Fall River, MA",2014,46,24,,20,,4,,,-,,-,,-,2,,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Hartford, CT",2014,46,56,,43,,7,,4,,1,,1,,4,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Lowell, MA",2014,46,25,,18,,4,,3,,,-,,-,1,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Lynn, MA",2014,46,4,,3,,,-,1,,,-,,-,,-,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"New Bedford, MA",2014,46,24,,18,,5,,1,,,-,,-,1,,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"New Haven, CT",2014,46,35,,22,,8,,3,,1,,1,,4,,"New Haven, CT
(41.307621422000466, -72.92461752399964)",
"Providence, RI",2014,46,73,,60,,11,,,-,2,,,-,,-,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Somerville, MA",2014,46,3,,3,,,-,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Springfield, MA",2014,46,26,,17,,8,,1,,,-,,-,1,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Waterbury, CT",2014,46,31,,21,,8,,1,,,-,1,,1,,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Worcester, MA",2014,46,80,,56,,21,,2,,,-,1,,6,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
Mid. Atlantic,2014,46,1843,,1333,,389,,83,,16,,22,,71,,,
"Albany, NY",2014,46,50,,36,,9,,2,,1,,2,,3,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Allentown, PA",2014,46,25,,19,,5,,,-,,-,1,,2,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Buffalo, NY",2014,46,105,,71,,27,,4,,,-,3,,5,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Camden, NJ",2014,46,33,,19,,10,,3,,1,,,-,2,,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Elizabeth, NJ",2014,46,15,,11,,3,,,-,,-,1,,1,,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Erie, PA",2014,46,40,,30,,7,,1,,1,,1,,1,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Jersey City, NJ",2014,46,20,,11,,5,,2,,2,,,-,2,,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"New York City, NY",2014,46,1056,,764,,231,,46,,8,,7,,28,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Newark, NJ",2014,46,36,,22,,14,,,-,,-,,-,1,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Paterson, NJ",2014,46,17,,11,,6,,,-,,-,,-,1,,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Philadelphia, PA",2014,46,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Pittsburgh, PA§",2014,46,55,,43,,6,,3,,1,,2,,7,,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Reading, PA",2014,46,31,,23,,5,,3,,,-,,-,5,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Rochester, NY",2014,46,153,,115,,27,,9,,,-,2,,3,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Schenectady, NY",2014,46,22,,17,,4,,1,,,-,,-,,-,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Scranton, PA",2014,46,36,,28,,8,,,-,,-,,-,1,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Syracuse, NY",2014,46,99,,79,,12,,5,,,-,3,,6,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Trenton, NJ",2014,46,14,,6,,5,,3,,,-,,-,1,,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Utica, NY",2014,46,17,,13,,2,,,-,2,,,-,2,,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Yonkers, NY",2014,46,19,,15,,3,,1,,,-,,-,,-,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
E.N. Central,2014,46,1913,,1312,,437,,114,,26,,24,,95,,,
"Akron, OH",2014,46,47,,31,,8,,5,,2,,1,,1,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Canton, OH",2014,46,27,,17,,7,,1,,1,,1,,2,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Chicago, IL",2014,46,262,,180,,56,,20,,3,,3,,14,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Cincinnati, OH",2014,46,83,,45,,26,,6,,1,,5,,3,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Cleveland, OH",2014,46,248,,190,,42,,13,,2,,1,,9,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Columbus, OH",2014,46,238,,154,,55,,18,,7,,4,,13,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Dayton, OH",2014,46,131,,97,,27,,5,,1,,1,,7,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Detroit, MI",2014,46,,U,,U,,U,,U,,U,,U,,U,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Evansville, IN",2014,46,66,,46,,16,,3,,1,,,-,,-,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Fort Wayne, IN",2014,46,69,,54,,10,,4,,,-,1,,6,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Gary, IN",2014,46,15,,8,,2,,2,,2,,1,,,-,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Grand Rapids, MI",2014,46,52,,34,,14,,2,,2,,,-,2,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
